Date,Open,High,Low,Close,Adj Close,Volume
2023-11-17,3470.000000,3470.000000,3420.000000,3470.000000,3348.575439,13562900
2023-11-20,3470.000000,3470.000000,3420.000000,3460.000000,3338.925293,4352900
2023-11-21,3460.000000,3490.000000,3430.000000,3480.000000,3358.225586,11470300
2023-11-22,3480.000000,3520.000000,3450.000000,3500.000000,3377.525879,16968700
2023-11-23,3510.000000,3580.000000,3500.000000,3540.000000,3416.126221,16669800
2023-11-24,3550.000000,3580.000000,3520.000000,3530.000000,3406.476074,4341700
2023-11-27,3530.000000,3550.000000,3500.000000,3520.000000,3396.825928,11935500
2023-11-28,3520.000000,3640.000000,3520.000000,3600.000000,3474.026611,13638400
2023-11-29,3600.000000,3640.000000,3560.000000,3630.000000,3502.976563,9785100
2023-11-30,3630.000000,3650.000000,3570.000000,3650.000000,3522.276855,40876300
2023-12-01,3600.000000,3700.000000,3590.000000,3630.000000,3502.976563,11652900
2023-12-04,3640.000000,3670.000000,3550.000000,3630.000000,3502.976563,17107000
2023-12-05,3590.000000,3620.000000,3570.000000,3620.000000,3555.025635,14546100
2023-12-06,3620.000000,3630.000000,3500.000000,3510.000000,3447.000000,16666500
2023-12-07,3510.000000,3570.000000,3500.000000,3570.000000,3570.000000,7254400
2023-12-08,3570.000000,3570.000000,3490.000000,3510.000000,3510.000000,10274300
2023-12-11,3500.000000,3510.000000,3470.000000,3500.000000,3500.000000,7700700
2023-12-12,3500.000000,3510.000000,3420.000000,3430.000000,3430.000000,11409300
2023-12-13,3430.000000,3460.000000,3400.000000,3450.000000,3450.000000,5871300
2023-12-14,3450.000000,3450.000000,3400.000000,3400.000000,3400.000000,6953500
